artist,track,spotify_url
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I
Hatik,Prison pour mineurs,4VW2dYyax9XGl5qPwAtRSf
Lorenzo,Je vous déteste tous,7gXKk9AN9WNlMNlNx1hD0y
Leto,Double binks (feat. Ninho & Zed),23ZFRQWEvlK8AVN6ZQ5INr
YL,Vaillante,0vUCn7o1ZK4CRtngYRZwPL
Surf Mesa,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS
DA Uzi,Crois-moi (feat. Ninho),69I4Eynuxdj6LEmpvG56u6
Nea,Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv
Ninho,Zipette,08R1tpj13j095ATHZKWo19
Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ
Powfu,death bed (feat. beabadoobee & blink-182) - bonus remix,607PGYIaTaTyAKQtmPpUom
4Keus,MD (feat. Niska),4OUTQBwLBaTIUcgdI5PPt7
Christophe,Aline,7Jqh8o6yV7EeFokJX5gQsa
Surfaces,Sunday Best,1qYKWcEOrh2tM8PlgIm8K1
Trevor Daniel,Falling,0Aqi7ArnBrGblW5T6p2jmD
Ava Max,Salt,5iyZwawawLjHYpX4MxUKVF
Dua Lipa,Physical,3AzjcOeAmA57TIOr9zF1ZW
Ninho,Promo (feat. Damso),3hn5LCIZURvdrBikNaFkJV
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k
Soprano,Ninja,2imLYhuE0rBYnSrhXDOaRX
Soso Maness,So Maness,5kQ5tKaEs3RHlaLqwjagly
DripReport,Skechers,2alc8VZAzDgdAsL2QMk3hu
Miley Cyrus,Flowers,7DSAEUvxU8FajXtRloy8M0
Hamza,Nocif,4BZZTXcd5ROagKhynqj61X
Werenoi,Ciao,0ma3NlsPqinnkehSwvXtSd
Tayc,Room 69,3dl81ypaK6k0y0RCszBKS4
GAULOIS,Jolie (feat. Ninho),16FTTvpIgihyei3EBNw1jd
Werenoi,Escorte,4cj9dhfsdN71e2gBgCP8Ho
Aya Nakamura,Baby,3xrZCGMyXIDqesVz4QwJOL
Maes,La Pègre,4wZLuEJNzXR0gnVR5gA7Yy
Werenoi,Tout seul,1EN9pjOtIMBpJzpYKZFmAV
RK,Lola,43vjYTKZg8R5LsuITJ4wVu
Louane,Secret,7dISpxgINJOQSuXUTEfB9x
Maes,Velar,2MGSHTuIsRqGmYqjswWiBB
Zola,AMBER,5UPpgOKi0UQMMMSzWWgJJe
Rema,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO
Werenoi,Laboratoire,24JrEVHDfohup0ypuOV7os
Werenoi,10.03.2023,2hfeuQkhID6cCWloWe6ugO
Maes,Fetty Wap,4eCQd00uuhXtzgYRS4qW5C
Måneskin,THE LONELIEST,1Ame8XTX6QHY0l0ahqUhgv
Maes,Galactic,6t5eToKchEStEhi3TiM2aD
Vacra,Tiki Taka,6pIciAIov7TP5Zj4PTN9rc
Werenoi,Figaro,3Xi7WozdjzIWgwhKxbYFzO
Werenoi,Grisaille,7JBtwQ2CFFdr6sWMVcn483
David Guetta,I’m Good (Blue),6HtqNA3x84AKA1sjMHxAA5
Maes,B22,19f3WsiGZq0nG0bboLa7th
SDM,Bolide allemand,0EzNyXyU7gHzj2TN8qYThj
Werenoi,Intro Rolex,2KFl9xoYffOYuIdVtgr4Sm
Werenoi,Maison hantée,3JcY9Wcv0B2aaxL0E1EyQE
Maes,Malembé,0dAdLqKqFPmOzkPiTA4V2K
Werenoi,Vroum Vroum,6FmI6qPWS2dJju6WQodG7T
Hamza,Free YSL,0cFS3AMF9Lhj3CNoFvwjvY
Gazo,DIE,3D29kjUyWxsT3jUUTtARVQ
Maes,Opaque,0xiMdJVrFh8Al0dRowFu76
Landy,Maybach,1roybe6TpPG0elVCDUhPdg
Hamza,Sadio (feat. Offset),5eGid3rXirJcCoROMnTqg0
The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3
Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO
Lomepal,Decrescendo,4otT81iBBpaf36roGtzT4a
Tiakola,Meuda,4wNyrbY6B2Okii8VeKo2B2
Ayra Starr,Rush,1xs8bOvm3IzEYmcLJVOc34
Djadja & Dinaz,Pas là,2gH0sY8ATBTt01imXPZJdH
SDM,Mr. Ocho,1xLCwgQcF6bKncTJmRGGws
Maes,Le Moine,3mXiiDURmE5ieq3P6os0AT
Werenoi,Virus,4HyukTxrcVTDqFg1ECzjBp
Werenoi,Nos labels c'est du papel,2RFopFdBW1r2vzEGkdlh7M
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF
PLK,Décembre,5yzH31eVQS7ctEcvYIwdTk
Djadja & Dinaz,La Force Tranquille,3qqCJBsk3i4emDYMzTwNub
Rosa Linn,SNAP,76OGwb5RA9h4FxQPT33ekc
Libianca,People,26b3oVLrRUaaybJulow9kz
Maes,Frank Lucas,70IdN2Bm2IXU7xReA44AOD
Naps,La kiffance,1bwhDrXcAtqePp8mNJ0pTe
OBOY,TDB,5YoDQgB4j7oBHWXH3DcwFD
Koba LaD,Daddy chocolat,4IbDTrLxImTJfZePAX2nKB
Soso Maness,Petrouchka (feat. PLK),03y045SZqaC94yfXl1cU4E
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d
Kungs,Never Going Home,6ju5Ntn5pYksvkKxVkjEPK
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20
Shouse,Love Tonight (David Guetta Remix Edit),2prnn41CblB8B4yWACDljP
Polo & Pan,Ani Kuni - Edit,7FOQQJNvfC7x8yO6DQBSFO
Jul,"Pic et pic, alcool et drame - Live au Vélodrome, Marseille",0dfNiZ3Z0t2PugwQTFQv14
Dadju,Mon soleil,45EsHnie8eepXXtaTgHnRT
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK
Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e
Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W
The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g
Alonzo,La Seleçao,2vd2HEhrkafOi2uveHjzzh
