track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Trampoline (with ZAYN),SHAED,spotify:track:2ez6qvOTHKeI3ss80NGqnI,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.13699999999999998,0.498,126.803,184280,4
Baiana,Bakermat,spotify:track:3q9oTSo64CrjOiPwI4DbWE,0.5870000000000001,0.722,2,-6.983,0,0.0709,0.000754,0.6679999999999999,0.5429999999999999,0.466,121.964,180843,4
Roses - Imanbek Remix,SAINt JHN,spotify:track:0zLCBJZSiELJf02ucPP9wb,0.769,0.7190000000000001,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867,4
Be Honest (feat. Burna Boy),Jorja Smith,spotify:track:5pAbCxt9e3f81lOmjIXwzd,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,207031,4
Ma belle,Moha La Squale,spotify:track:3Aq1SJ1hWlfazx8IIC6u1D,0.7390000000000001,0.6559999999999999,0,-5.516,1,0.0578,0.764,3.8e-06,0.0896,0.47,82.01100000000002,158276,4
Mon bebe d'amour,Jul,spotify:track:6ONBway3VLMdg9tQMZixT7,0.8390000000000001,0.911,2,-5.625,0,0.172,0.207,4.9000000000000005e-06,0.0711,0.779,114.959,209107,4
Street,Maes,spotify:track:7x3kHHEczVkeuuFkUKjUv7,0.664,0.619,7,-7.631,0,0.05,0.304,0.0,0.265,0.483,147.93200000000004,184320,4
Ca ira,SCH,spotify:track:47yhjEwyOgNPPLHLL8OGLV,0.706,0.584,1,-7.904,1,0.124,0.408,5.96e-06,0.105,0.451,142.04,249280,4
Mortel,Koba LaD,spotify:track:1R08aR16OkyUIEISNPj8vA,0.584,0.6920000000000001,3,-6.398,1,0.463,0.146,0.0,0.102,0.659,154.00799999999995,203520,4
Un million par mois,Djadja & Dinaz,spotify:track:5JVf4pCn50ePuE6ZoF5oEg,0.763,0.535,1,-6.0,0,0.0512,0.655,0.0,0.133,0.7190000000000001,134.877,188677,4
bad guy,Billie Eilish,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
Don’t Start Now,Dua Lipa,spotify:track:25rESk2TK1HjkmCdwwTUEV,0.7929999999999999,0.7929999999999999,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4
Maman ne le sait pas (feat. Niska),Ninho,spotify:track:5c2HadbVTsMKjja4gohEFI,0.755,0.875,7,-5.944,0,0.193,0.399,0.0,0.115,0.393,145.00799999999995,203301,4
Pookie,Aya Nakamura,spotify:track:2QpUWi6VSNOt2WyH5FIeLD,0.912,0.598,6,-7.718,0,0.0877,0.0718,1.12e-06,0.0892,0.5329999999999999,98.006,180840,4
everything i wanted,Billie Eilish,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
Balance ton quoi,Angele,spotify:track:2jX5c5RFp0A9E1GDsvGxIa,0.703,0.442,0,-10.383,1,0.0823,0.594,2.39e-05,0.276,0.381,115.932,189480,4
Liquide rouge,Maes,spotify:track:55zn5ujMpCkJWd2exRvs5r,0.705,0.639,0,-7.617000000000001,0,0.102,0.287,0.0,0.133,0.569,116.014,152932,4
Rari,Gradur,spotify:track:24UpsIBzHloZfiimVLUUFx,0.718,0.7120000000000001,4,-6.483,0,0.0536,0.21,0.0,0.0983,0.62,138.025,173387,4
Tombe,M. Pokora,spotify:track:3EiDyqPIjDDo6F8RS5Lj4t,0.648,0.537,9,-9.254,1,0.0607,0.56,0.0,0.107,0.539,113.01,233800,4
Lettre a une femme,Ninho,spotify:track:10rwyGbKAWZ8JZbL7uHl28,0.487,0.398,1,-9.901,0,0.0697,0.835,0.0,0.12,0.905,149.36700000000005,157766,4
Toosie Slide,Drake,spotify:track:127QTOFJsJQp5LbJbu3A1y,0.8340000000000001,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,247059,4
Tusa,KAROL G,spotify:track:2mO4k8MsLK2nwkk6vanSye,0.7959999999999999,0.701,2,-3.275,1,0.28300000000000003,0.308,7.82e-05,0.0516,0.619,100.954,201920,4
Sousou,Jul,spotify:track:3dyoo6UNb2VlMTISBqrDb1,0.8759999999999999,0.8590000000000001,6,-5.2879999999999985,0,0.0512,0.43,0.0,0.108,0.6679999999999999,124.952,237520,4
Angela,Hatik,spotify:track:6ab3CQvDlAVttThZucwGQ1,0.65,0.469,2,-8.676,0,0.184,0.7020000000000001,0.249,0.106,0.378,191.853,236000,4
Train de vie (feat. PLK),Leto,spotify:track:2VXeQ7moo4zfT6EFO3Cwse,0.7390000000000001,0.585,1,-7.605,1,0.195,0.314,0.0,0.0998,0.708,143.849,187147,4
Les mots bleus,Christophe,spotify:track:2g0iE5qCFBlT86XalEsfKf,0.343,0.71,11,-4.412,1,0.0371,0.4970000000000001,1.42e-06,0.0308,0.391,138.241,250613,4
The Box,Roddy Ricch,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
Prison pour mineurs,Hatik,spotify:track:4VW2dYyax9XGl5qPwAtRSf,0.742,0.693,9,-7.407,1,0.399,0.134,0.0,0.098,0.285,167.05700000000004,94850,4
Je vous deteste tous,Lorenzo,spotify:track:7gXKk9AN9WNlMNlNx1hD0y,0.8859999999999999,0.664,4,-5.497000000000001,0,0.191,0.263,0.0,0.0978,0.599,126.02,140360,4
Double binks (feat. Ninho & Zed),Leto,spotify:track:23ZFRQWEvlK8AVN6ZQ5INr,0.9,0.386,5,-8.636000000000001,0,0.22,0.633,0.0,0.185,0.526,119.993,242240,4
Vaillante,YL,spotify:track:0vUCn7o1ZK4CRtngYRZwPL,0.807,0.669,7,-7.181,1,0.217,0.174,0.00236,0.15,0.57,100.043,149722,4
ily (i love you baby) (feat. Emilee),Surf Mesa,spotify:track:62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
Crois-moi (feat. Ninho),DA Uzi,spotify:track:69I4Eynuxdj6LEmpvG56u6,0.772,0.687,7,-6.464,1,0.0695,0.0676,0.0,0.103,0.449,149.857,183560,4
Some Say - Felix Jaehn Remix,Nea,spotify:track:7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120.03,186878,4
Zipette,Ninho,spotify:track:08R1tpj13j095ATHZKWo19,0.743,0.757,3,-6.8889999999999985,0,0.272,0.371,0.0,0.0988,0.72,192.018,211263,3
Say So,Doja Cat,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.787,0.6729999999999999,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4
death bed (feat. beabadoobee & blink-182) - bonus remix,Powfu,spotify:track:607PGYIaTaTyAKQtmPpUom,0.73,0.639,0,-5.942,1,0.0993,0.669,0.0,0.8240000000000001,0.6609999999999999,143.95600000000005,133333,4
MD (feat. Niska),4Keus,spotify:track:4OUTQBwLBaTIUcgdI5PPt7,0.409,0.7290000000000001,4,-5.252999999999999,0,0.401,0.501,0.0,0.124,0.595,75.41199999999998,210827,4
Aline,Christophe,spotify:track:7Jqh8o6yV7EeFokJX5gQsa,0.274,0.659,0,-5.557,1,0.0334,0.406,1.95e-05,0.34600000000000003,0.532,177.732,170840,3
Sunday Best,Surfaces,spotify:track:1qYKWcEOrh2tM8PlgIm8K1,0.8690000000000001,0.555,5,-5.984,1,0.0454,0.13699999999999998,0.0,0.0746,0.738,112.003,158948,4
Falling,Trevor Daniel,spotify:track:0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
Salt,Ava Max,spotify:track:5iyZwawawLjHYpX4MxUKVF,0.693,0.835,6,-3.242,1,0.0624,0.131,0.0,0.073,0.7440000000000001,128.05200000000002,180283,4
Physical,Dua Lipa,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,0.647,0.8440000000000001,0,-3.756,1,0.0457,0.0137,0.0006580000000000001,0.102,0.746,146.967,193829,4
Promo (feat. Damso),Ninho,spotify:track:3hn5LCIZURvdrBikNaFkJV,0.738,0.7440000000000001,8,-7.1160000000000005,0,0.319,0.506,0.0,0.105,0.483,139.934,209255,4
Boss Bitch,Doja Cat,spotify:track:78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4
Ninja,Soprano,spotify:track:2imLYhuE0rBYnSrhXDOaRX,0.826,0.685,2,-5.982,0,0.0387,0.0307,0.0,0.0774,0.6409999999999999,99.001,185853,4
So Maness,Soso Maness,spotify:track:5kQ5tKaEs3RHlaLqwjagly,0.8909999999999999,0.836,10,-4.663,0,0.14300000000000002,0.0339,0.0,0.237,0.315,122.034,159400,4
Skechers,DripReport,spotify:track:2alc8VZAzDgdAsL2QMk3hu,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,106000,4
Flowers,Miley Cyrus,spotify:track:7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600,4
